year,rank,name,position,player_id
2022,1,Josh Allen,QB,2560955
2022,2,Justin Herbert,QB,2565045
2022,3,Patrick Mahomes II,QB,2558125
2022,4,Lamar Jackson,QB,2560757
2022,5,Kyler Murray,QB,2562382
2022,6,Jalen Hurts,QB,2564832
2022,7,Joe Burrow,QB,2563722
2022,8,Tom Brady,QB,2504211
2022,9,Dak Prescott,QB,2555260
2022,10,Russell Wilson,QB,2532975
2022,11,Matthew Stafford,QB,79860
2022,12,Aaron Rodgers,QB,2506363
2022,13,Trey Lance,QB,2566532
2022,14,Derek Carr,QB,2543499
2022,15,Kirk Cousins,QB,2532820
2022,16,Justin Fields,QB,2565920
2022,17,Tua Tagovailoa,QB,2564499
2022,18,Trevor Lawrence,QB,2566163
2022,19,Matt Ryan,QB,310
2022,20,Ryan Tannehill,QB,2532956
2022,21,Jameis Winston,QB,2552033
2022,22,Zach Wilson,QB,2566391
2022,23,Mac Jones,QB,2566334
2022,24,Daniel Jones,QB,2562299
2022,25,Carson Wentz,QB,2555259
2022,26,Deshaun Watson,QB,2558063
2022,27,Jared Goff,QB,2555334
2022,28,Davis Mills,QB,2566136
2022,29,Marcus Mariota,QB,2552466
2022,30,Mitchell Trubisky,QB,2558008
2022,31,Baker Mayfield,QB,2560800
2022,32,Jimmy Garoppolo,QB,2543801
2022,33,Kenny Pickett,QB,2568162
2022,34,Sam Darnold,QB,2561036
2022,35,Drew Lock,QB,2562305
2022,36,Desmond Ridder,QB,2567256
2022,37,Matt Corral,QB,2567349
2022,38,Teddy Bridgewater,QB,2543465
2022,39,Taysom Hill,QB,2558954
2022,40,Geno Smith,QB,2539335
2022,41,Jacoby Brissett,QB,2555261
2022,42,Malik Willis,QB,2567667
2022,1,Jonathan Taylor,RB,2564148
2022,2,Christian McCaffrey,RB,2557997
2022,3,Austin Ekeler,RB,2559169
2022,4,Derrick Henry,RB,2556075
2022,5,Dalvin Cook,RB,2557991
2022,6,Najee Harris,RB,2566448
2022,7,Joe Mixon,RB,2557976
2022,8,D'Andre Swift,RB,2563965
2022,9,Nick Chubb,RB,2561021
2022,10,Aaron Jones,RB,2558116
2022,11,Leonard Fournette,RB,2557973
2022,12,Alvin Kamara,RB,2558019
2022,13,Javonte Williams,RB,2566049
2022,14,Saquon Barkley,RB,2560968
2022,15,James Conner,RB,2557978
2022,16,David Montgomery,RB,2562502
2022,17,Ezekiel Elliott,RB,2555224
2022,18,Cam Akers,RB,2564319
2022,19,Antonio Gibson,RB,2565276
2022,20,Breece Hall,RB,2568030
2022,21,J.K. Dobbins,RB,2563548
2022,22,Josh Jacobs,RB,2562377
2022,23,Travis Etienne Jr.,RB,2566157
2022,24,Elijah Mitchell,RB,2566538
2022,25,AJ Dillon,RB,2563986
2022,26,Miles Sanders,RB,2562722
2022,27,Damien Harris,RB,2562281
2022,28,Clyde Edwards-Helaire,RB,2564271
2022,29,Kareem Hunt,RB,2557917
2022,30,Tony Pollard,RB,2562699
2022,31,Devin Singletary,RB,2562734
2022,32,Chase Edmonds,RB,2560711
2022,33,Rashaad Penny,RB,2560835
2022,34,Ken Walker III,RB,2568282
2022,35,Melvin Gordon III,RB,2552469
2022,36,Cordarrelle Patterson,RB,2540145
2022,37,Rhamondre Stevenson,RB,2566343
2022,38,Michael Carter,RB,2566382
2022,39,Ronald Jones II,RB,2560770
2022,40,James Cook,RB,2567328
2022,41,Alexander Mattison,RB,2562682
2022,42,Darrell Henderson Jr.,RB,2562574
2022,43,James Robinson,RB,2564223
2022,44,Nyheim Hines,RB,2560742
2022,45,J.D. McKissic,RB,2556440
2022,46,Raheem Mostert,RB,2553728
2022,47,Isaiah Spiller,RB,2568189
2022,48,Jamaal Williams,RB,2558204
2022,49,Kenneth Gainwell,RB,2566397
2022,50,Gus Edwards,RB,2561324
2022,51,Dameon Pierce,RB,2567685
2022,52,Sony Michel,RB,2560809
2022,53,Khalil Herbert,RB,2565926
2022,54,Marlon Mack,RB,2558123
2022,55,Darrel Williams,RB,2560935
2022,56,Tyler Allgeier,RB,2567232
2022,57,D'Onta Foreman,RB,2557994
2022,58,Mark Ingram II,RB,2495466
2022,59,James White,RB,2543773
2022,60,Rachaad White,RB,2568315
2022,61,Kenyan Drake,RB,2555230
2022,62,Chuba Hubbard,RB,2565899
2022,63,Myles Gaskin,RB,2562270
2022,64,Boston Scott,RB,2561146
2022,65,Damien Williams,RB,2550512
2022,66,Samaje Perine,RB,2558138
2022,67,Trey Sermon,RB,2566544
2022,68,Brian Robinson Jr.,RB,2568348
2022,69,Chris Carson,RB,2558865
2022,70,D'Ernest Johnson,RB,2563327
