"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"134",10,"Travis Homer",SEA,"11","2 out of 5 stars","-"
"135",10,"Demetric Felton Jr.",CLE,"9","3 out of 5 stars","-"
"136",10,"Trayveon Williams",CIN,"10","3 out of 5 stars","-"
"137",11,"Qadree Ollison",ATL,"14","1 out of 5 stars","-"
"138",11,"Dare Ogunbowale",HOU,"6","3 out of 5 stars","-"
"139",11,"Zonovan Knight",NYJ,"10","4 out of 5 stars","-"
"140",11,"Justice Hill",BAL,"10","4 out of 5 stars","-"
"141",11,"Larry Rountree III",LAC,"8","2 out of 5 stars","-"
"142",11,"Patrick Taylor Jr.",GB,"14","3 out of 5 stars","-"
"143",11,"Royce Freeman",HOU,"6","3 out of 5 stars","-"
"144",11,"C.J. Ham",MIN,"7","4 out of 5 stars","-"
"145",11,"Patrick Ricard",BAL,"10","4 out of 5 stars","-"
"146",11,"Godwin Igwebuike",DET,"6","4 out of 5 stars","-"
"147",11,"Jake Funk",LAR,"7","2 out of 5 stars","-62"
"148",11,"Tyler Goodson",GB,"14","3 out of 5 stars","-"
"149",11,"Trestan Ebner",CHI,"14","5 out of 5 stars","-"
"150",11,"D'Vonte Price",IND,"14","3 out of 5 stars","-"
"151",11,"Ty'Son Williams",IND,"14","3 out of 5 stars","-"
"152",11,"Deon Jackson",IND,"14","3 out of 5 stars","-"
"153",11,"La'Mical Perine",NYJ,"10","4 out of 5 stars","-"
"154",11,"Ty Montgomery",NE,"10","4 out of 5 stars","-"
"155",11,"Devine Ozigbo",NO,"14","3 out of 5 stars","-"
"156",11,"Jalen Richard",FA,"-","-","-"
"157",11,"Jason Huntley",PHI,"7","3 out of 5 stars","-"
"158",11,"Gabe Nabers",LAC,"8","2 out of 5 stars","-"
"159",11,"Damarea Crockett",DEN,"9","3 out of 5 stars","-"
"160",11,"CJ Verdell",IND,"14","3 out of 5 stars","-"
