pick,owner_name,price,player name,player_id,position
-,Jordan,12,Gus Edwards,2561324,RB
-,Jordan,43,Tyreek Hill,2556214,WR
-,Jordan,18,Mike Evans,2543468,WR
-,Jordan,4,Corey Davis,2557848,WR
-,Jordan,26,George Kittle,2558266,TE
-,Jordan,17,Zach Wilson,2566391,QB
-,Jordan,5,Leonard Fournette,2557973,RB
-,Jordan,1,Washington Defense,100032,DEF
-,Jordan,1,Justin Tucker,2536340,K
-,Jordan,8,Carson Wentz,2555259,QB
-,Jordan,6,Michael Thomas,2556370,WR
-,Jordan,4,A.J. Dillon,2563986,RB
-,Jordan,6,Marquez Callaway,2565310,WR
-,Jordan,6,Sony Michel,2560809,RB
-,Jordan,2,Michael Pittman Jr.,2564136,WR
-,Brandon,22,Matt Ryan,310,QB
-,Brandon,26,Clyde Edwards-Helaire,2564271,RB
-,Brandon,30,Najee Harris,2566448,RB
-,Brandon,13,Odell Beckham Jr,2543496,WR
-,Brandon,12,Tyler Lockett,2552430,WR
-,Brandon,6,Chase Claypool,2564970,WR
-,Brandon,2,Noah Fant,2562383,TE
-,Brandon,46,Russell Wilson,2532975,QB
-,Brandon,43,Aaron Jones,2558116,RB
