id,name,profile_id,birthdate,picture_id,nfl_url_name
1,JaMycal Hasty,2565108,09/12/1996,qtjp84utne7uhgbtx0o5,jamycal-hasty
2,Deejay Dallas,2565144,09/16/1998,qjmvqdjdtrycr4zixl2v,deejay-dallas
3,Scott Miller,2562865,07/31/1997,knmpvvmftnvmqtx5g8me,scott-miller
4,Ben DiNucci,2563839,11/24/1996,sz8fxixdgfp0v2urdpgt,ben-dinucci
5,Rashard Higgins,2555468,10/07/1994,j74zpzosjgeqpb0ponif,rashard-higgins
6,Mike Badgley,2560965,07/28/1995,ilzeni7etolbtplj4ixk,mike-badgley
7,Jake Luton,2564205,4/11/1996,ruisuqsiiuufuwb9kzn4,jake-luton
