year,rank,player_name,position,id
2021,5,T.J. Hockenson,TE,2562378
2021,6,Kyle Pitts,TE,2565830
2021,7,Noah Fant,TE,2562383
2021,8,Logan Thomas,TE,2543767
2021,9,Robert Tonyan,TE,2559270
2021,10,Tyler Higbee,TE,2555364
2021,11,Dallas Goedert,TE,2560995
2021,12,Mike Gesicki,TE,2560994
2021,13,Jonnu Smith,TE,2558207
2021,14,Evan Engram,TE,2557858
2021,15,Rob Gronkowski,TE,497240
2021,16,Hunter Henry,TE,2555341
