pick,owner_name,price,player_name,player_id,position
-,Daniel,3,San Franci,100029,DEF
-,Dag,1,Los Ange,100028,DEF
-,Dag,1,"Seattle (SEA)
",100030,DEF
-,Jerms,2,Baltimore (BAL),100002,DEF
-,Brock,4,Pittsburgh (PIT),100027,DEF
-,Daniel,3,Justin Tucke,2536340,K
-,Kevin,1,Harrison Butke,2558245,K
-,Dag,2,Greg Zuerlei,2534797,K
-,Michael,48,Deshaun Watson,2558063,QB
-,Michael,29,Matthew Stafford,79860,QB
-,Dennis,64,Russell Wilson,2532975,QB
-,Dennis,26,Jared Goff,2555334,QB
-,Keenan,36,Matt Ryan,310,QB
-,Keenan,34,Aaron Rodgers,2506363,QB
-,Jerms,36,Josh Allen,2560955,QB
-,Jerms,32,Tom Brady,2504211,QB
-,Jerms,3,Mitch Trubisky,2558008,QB
-,Jordan,23,Joe Burrow,9000044,QB
-,Jordan,27,Ben Roethlisberger,2506109,QB
-,Jordan,13,Philip Rivers,2506121,QB
-,Brock,35,Carson Wentz,2555259,QB
-,Brock,11,Teddy Bridgewater,2543465,QB
-,Brock,10,Drew Lock,2562305,QB
-,Daniel,33,Drew Brees,2504775,QB
-,Daniel,6,Tyrod Taylor,2495240,QB
-,Daniel,3,Sam Darnold,2561036,QB
-,Kevin,66,Patrick Mahomes,2558125,QB
-,Kevin,63,Lamar Jackson,2560757,QB
-,Brandon,25,Daniel Jones,2562299,QB
-,Brandon,26,Ryan Tannehill,2532956,QB
-,Brandon,8,Derek Carr,2543499,QB
-,Dag,53,Dak Prescott,2555260,QB
-,Dag,30,Cam Newton,2495455,QB
-,Woody,48,Kyler Murray,2562382,QB
-,Woody,19,Jimmy Garoppolo,2543801,QB
-,joe,24,Baker Mayfield,2560800,QB
-,joe,17,Gardner Mins,2562796,QB
-,joe,21,Kirk Cousins,2532820,QB
-,joe,2,Tua Tagovailoa,9000030,QB
-,Michael,60,Christian McCaffrey,2557997,RB
-,Michael,9,David Montgomery,2562502,RB
-,Michael,16,Melvin Gordon,2552469,RB
-,Dennis,60,Saquon Barkley,2560968,RB
-,Dennis,10,Marlon Mack,2558123,RB
-,Dennis,4,Kareem Hunt,2557917,RB
-,Keenan,49,Alvin Kamara,2558019,RB
-,Keenan,2,Kerryon Johnson,2560765,RB
-,Jerms,19,Le'Veon Bell,2540175,RB
-,Jerms,7,Devin Singletary,2562734,RB
-,Jerms,5,D'Andre Swift,9000035,RB
-,Jerms,4,Zack Moss,9000039,RB
-,Jerms,3,James Robinson,9000055,RB
-,Jordan,42,Derrick Henry,2556075,RB
-,Jordan,43,Clyde Edwards-Helaire,9000033,RB
-,Jordan,25,Aaron Jones,2558116,RB
-,Brock,10,Cam Akers,9000036,RB
-,Brock,31,Nick Chubb,2561021,RB
-,Brock,27,James Conner,2557978,RB
-,Brock,10,Raheem Mostert,2553728,RB
-,Brock,2,Latavius Murray,2541161,RB
-,Brock,2,Tevin Coleman,2552453,RB
-,Daniel,39,Josh Jacobs,2562377,RB
-,Daniel,32,Joe Mixon,2557976,RB
-,Daniel,8,J.K. Dobbins,9000037,RB
-,Daniel,10,Mark Ing,2495466,RB
-,Daniel,10,Antonio Gibson,9000040,RB
-,Kevin,33,Miles Sanders,2562722,RB
-,Kevin,16,Jonathan Taylor,9000034,RB
-,Kevin,9,Leonard Fournette,2557973,RB
-,Kevin,1,Boston Scott,9000029,RB
-,Brandon,55,Ezekiel Elliott,2555224,RB
-,Brandon,20,Chris Carson,2558865,RB
-,Brandon,30,Kenyan Drake,2555230,RB
-,Brandon,3,Chase Edmonds,2560711,RB
-,Dag,30,Austin Ekeler,2559169,RB
-,Dag,9,James White,2543773,RB
-,Woody,45,Dalvin Cook,2557991,RB
-,Woody,20,David Johnson,2553435,RB
-,Woody,1,Chris Thompson,2540011,RB
-,Woody,2,Sony Michel,2560809,RB
