id,name,profile_id,birthdate,picture_id,nfl_URL_name
1,Myles Gaskin,2562270,2/15/1997,lwbo5oqzvpcb5y0fufoa,myles-gaskin
2,Denzel Mims,2564802,10/10/1997,qjmvqdjdtrycr4zixl2v,denzel-mims
3,Russell Gage,2561061,1/22/1996,oh8urg1edgyaqwdg6jid,russell-gage
4,Logan Thomas,2543767,7/1/1991,rdtcovvvxsmag3er42um,logan-thomas
5,Dalton Schultz,2560866,7/1/1996,vmji0oq1dx5pbpiqmsra,dalton-schultz
