position,player,age,experience,last year rank,bye week,low price,high price
RB,DErnest Johnson,26.49,3,9,0,0
RB,Trey Sermon,23.55,1,9,0,0
RB,Jerick McKinnon,30.3,6,8,0,0
WR,Justin Jefferson,23.59,2,7,44,47
WR,Cooper Kupp,29.18,5,7,38,41
WR,Ja'Marr Chase,22.47,0,10,37,40
WR,Stefon Diggs,28.72,7,7,35,36
WR,Davante Adams,29.65,8,6,30,36
WR,CeeDee Lamb,23.37,2,9,27,35
WR,Deebo Samuel,26.59,3,9,21,32
WR,Mike Evans,29.0,8,11,23,31
WR,Tyreek Hill,28.47,6,11,22,23
WR,A.J. Brown,25.14,3,7,17,20
WR,Keenan Allen,30.31,9,8,13,20
WR,Tee Higgins,23.59,2,10,14,19
WR,Michael Pittman,24.87,2,14,13,17
WR,D.J. Moore,25.35,4,13,16,19
WR,Diontae Johnson,26.12,3,9,12,17
WR,Jaylen Waddle,23.79,1,11,12,16
WR,Mike Williams,27.88,5,8,8,12
WR,Courtland Sutton,26.86,4,9,8,12
WR,Terry McLaurin,26.93,3,14,10,15
WR,Brandin Cooks,28.9,8,6,7,11
WR,DK Metcalf,24.68,3,11,6,11
WR,Allen Robinson,28.99,8,7,4,12
WR,Marquise Brown,25.21,3,13,5,7
WR,Darnell Mooney,24.81,2,14,5,9
WR,Jerry Jeudy,23.32,2,9,4,6
WR,Michael Thomas,29.46,6,14,1,6
WR,Amari Cooper,28.17,7,9,3,5
WR,Rashod Bateman,22.72,1,10,3,7
WR,Chris Godwin,26.48,5,11,3,4
WR,Gabriel Davis,23.39,2,7,1,4
WR,Amon-Ra St Brown,22.82,1,6,1,4
WR,JuJu Smith-Schuster,25.74,5,8,1,5
WR,Elijah Moore,22.4,1,10,0,5
WR,Adam Thielen,31.99,8,7,1,3
WR,Brandon Aiyuk,24.43,2,9,1,3
WR,DeVonta Smith,23.76,1,7,1,4
WR,Drake London,21.07,0,14,0,4
WR,Hunter Renfrow,26.66,3,6,0,3
WR,Tyler Lockett,29.89,7,11,1,3
WR,Allen Lazard,26.69,4,14,1,3
WR,Christian Kirk,25.75,4,11,0,2
WR,DeAndre Hopkins,30.2,9,13,0,2
WR,Robert Woods,30.36,9,6,0,4
WR,Kadarius Toney,23.56,1,9,0,3
WR,Treylon Burks,22.41,0,6,0,2
WR,Chris Olave,22.15,0,14,0,1
WR,Chase Claypool,24.12,2,9,0,2
WR,Skyy Moore,21.94,0,8,0,1
WR,Russell Gage,26.58,4,11,0,1
WR,Tyler Boyd,27.76,6,10,0,2
WR,Garrett Wilson,22.08,0,10,0,0
WR,Jakobi Meyers,25.78,3,10,0,1
WR,Marquez Valdes-Scantling,27.86,4,8,0,1
WR,DeVante Parker,29.58,7,10,0,0
WR,Jarvis Landry,29.72,8,14,0,1
WR,Rondale Moore,22.2,1,13,0,0
WR,Kenny Golladay,28.79,5,9,0,0
WR,D.J. Chark,25.91,4,6,0,0
WR,Michael Gallup,26.46,4,9,0,0
WR,George Pickens,21.46,0,9,0,0
WR,Julio Jones,33.54,11,11,0,0
WR,Jahan Dotson,22.41,0,14,0,0
WR,Corey Davis,27.61,5,10,0,0
WR,Robby Anderson,29.28,6,13,0,0
WR,Mecole Hardman,24.44,3,8,0,0
WR,Van Jefferson,26.07,2,7,0,0
WR,Marvin Jones,32.44,9,11,0,0
WR,Nico Collins,23.42,1,6,0,0
WR,Jameson Williams,21.4,0,6,0,0
WR,KJ Osborn,25.19,2,7,0,0
TE,Travis Kelce,32.87,9,8,30,37
TE,Mark Andrews,25.95,4,10,17,26
TE,Kyle Pitts,21.87,1,14,14,21
TE,George Kittle,28.86,5,9,7,15
TE,Darren Waller,29.93,6,6,8,12
TE,Dalton Schultz,26.14,4,9,4,9
TE,T.J. Hockenson,25.13,3,6,2,3
TE,Dallas Goedert,27.63,4,7,1,7
TE,Zach Ertz,31.78,9,13,1,2
TE,Dawson Knox,25.76,3,7,1,3
TE,Pat Freiermuth,23.82,1,9,0,5
TE,Cole Kmet,23.45,0,14,0,1
TE,Hunter Henry,27.7,5,10,0,1
TE,Mike Gesicki,26.88,4,11,0,1
TE,Irv Smith,24.03,0,7,0,0
TE,Noah Fant,24.75,3,11,0,0
TE,Albert Okwuegbunam,24.32,0,9,0,0
TE,Robert Tonyan,28.31,4,14,0,0
TE,David Njoku,26.11,5,9,0,2
TE,Gerald Everett,28.15,5,8,0,0
TE,Tyler Higbee,29.63,6,7,0,0
TE,Evan Engram,27.96,5,11,0,0
TE,Austin Hooper,27.81,6,6,0,0
TE,Logan Thomas,31.14,6,14,0,0
TE,Hayden Hurst,28.99,4,10,0,0
