pick,owner_name,price,player_name,player_id,position
-,jordan,37,Jameis Winston,2552033,QB
-,jordan,41,Drew Brees,2504775,QB
-,jordan,15,Melvin Gordon,2552469,RB
-,jordan,16,Damien Williams,2550512,RB
-,jordan,39,Julio Jones,2495454,WR
-,jordan,3,DeSean Jackson,1581,WR
-,jordan,1,Vance McDonald,2540215,TE
-,jordan,1,Robbie Gould,2506264,K
-,jordan,1,Los Angeles Chargers,100028,DEF
-,jordan,40,Cam Newton,2495455,QB
-,jordan,4,LeSean McCoy,79607,RB
-,jordan,1,Delanie Walker,2495966,TE
-,jordan,1,John Brown,2543847,WR
-,Daniel,34,Ben Roethlisberger,2506109,QB
-,Daniel,1,Ryan Fitzpatrick,2506581,QB
-,Daniel,63,Saquon Barkley,2560968,RB
-,Daniel,57,Christian McCaffrey,2557997,RB
-,Daniel,26,Antonio Brown,2508061,WR
-,Daniel,7,Kenny Golladay,2558052,WR
-,Daniel,1,Curtis Samuel,2558066,WR
-,Daniel,1,Eli Manning,2505996,QB
-,Daniel,1,Josh Rosen,2560858,QB
-,Kevin,58,Deshaun Watson,2558063,QB
-,Kevin,27,Leonard Fournette,2557973,RB
-,Kevin,19,Chris Carson,2558865,RB
-,Kevin,11,A.J. Green,2495450,WR
-,Kevin,10,Chris Godwin,2558105,WR
-,Kevin,1,Austin Hooper,2555415,TE
-,Kevin,2,Greg Zuerlein,2534797,K
-,Kevin,5,Chicago Bears,100005,DEF
-,Kevin,6,Marcus Mariota,2552466,QB
-,Kevin,15,Derrick Henry,2556075,RB
-,Kevin,7,Tevin Coleman,2552453,RB
-,Kevin,5,Calvin Ridley,2560854,WR
-,Kevin,3,Alshon Jeffery,2533039,WR
-,joe,61,Aaron Rodgers,2506363,QB
-,joe,16,Jimmy Garoppolo,2543801,QB
-,joe,37,Nick Chubb,2561021,RB
-,joe,13,Robert Woods,2540169,WR
-,joe,14,Amari Cooper,2552487,WR
-,joe,9,O.J. Howard,2557856,TE
-,joe,2,Will Fuller,2555346,WR
-,joe,11,Julian Edelman,238498,WR
-,joe,5,Duke Johnson,2552461,RB
-,joe,5,D.J. Moore,2560813,WR
-,joe,4,Allen Robinson,2543509,WR
-,joe,3,Latavius Murray,2541161,RB
-,Brock,36,Jared Goff,2555334,QB
