id,name,profile_id,birthdate,picture_id,nfl_url_name
1,LaMical Perine, 2564808,1/30/1998,rwyeph1ojfmkryt2egzk,la-mical-perine,
2,Chase Claypool, 2564970,7/7/1998,to50lyvotmzynmy3ds1a,chase-claypool
3,Jason Sanders, 2561153,11/16/1995,zujkdoklebakicmncqgo,jason-sanders
4,Travis Fulgham,2562653,9/13/1995,biy4p6gemvcewddelh7o,travis-fulgham
