position,player,age,experience,last year rank,bye week,low price,high price,actual price,owner
RB,Brian Robinson,23.44,0,14,0,0,0,3,Dag
RB,Gus Edwards,27.38,3,10,0,0,0,,
RB,Rachaad White,23.63,0,11,0,0,0,,
RB,Mark Ingram,32.69,11,14,0,0,1,1,Jeremy
RB,Marlon Mack,26.48,5,6,0,0,0,,
RB,Ronald Jones II,25.07,4,8,0,0,2,1,Kevin
RB,D'Onta Foreman,26.35,4,13,0,0,0,,
RB,Darrel Williams,27.37,4,13,0,0,0,,
RB,Sony Michel,27.53,4,11,0,0,0,,
RB,Zamir White,22.95,0,6,0,0,0,,
RB,Kenyan Drake,28.59,6,6,0,0,0,,
RB,Boston Scott,27.34,4,7,0,0,0,,
RB,Chuba Hubbard,23.22,1,13,0,0,0,,
RB,Samaje Perine,26.95,5,10,0,0,0,,
RB,Damien Williams,30.4,7,14,0,0,0,,
RB,Tyrion Davis-Price,21.85,0,9,0,0,0,,
RB,DErnest Johnson,26.52,3,9,0,0,0,,
RB,Trey Sermon,23.58,1,9,0,0,0,,
RB,Jerick McKinnon,30.32,6,8,0,0,0,,
WR,Justin Jefferson,23.62,2,7,44,46,47,42,Brock
WR,Cooper Kupp,29.2,5,7,38,39,41,41,Woody
WR,Ja'Marr Chase,22.49,0,10,37,37,40,34,Kevin
WR,Stefon Diggs,28.75,7,7,35,36,36,31,Daniel
WR,Davante Adams,29.68,8,6,30,33,36,36,Dennis
WR,CeeDee Lamb,23.39,2,9,27,33,35,28,Brock
WR,Deebo Samuel,26.62,3,9,21,26,32,28,Michael
WR,Mike Evans,29.02,8,11,23,25,31,23,Jeremy
WR,Tyreek Hill,28.5,6,11,22,22,23,22,Jeremy
WR,A.J. Brown,25.16,3,7,17,20,20,21,Kevin
WR,Keenan Allen,30.34,9,8,13,16,20,16,Jordan
WR,Tee Higgins,23.61,2,10,14,17,19,19,Jordan
WR,Michael Pittman,24.9,2,14,13,15,17,17,Michael
WR,D.J. Moore,25.37,4,13,16,18,19,14,Daniel
WR,Diontae Johnson,26.15,3,9,12,13,17,15,Keenan
WR,Jaylen Waddle,23.81,1,11,12,12,16,10,Michael
WR,Mike Williams,27.9,5,8,8,11,12,14,Keenan
WR,Courtland Sutton,26.89,4,9,8,10,12,9,Michael
WR,Terry McLaurin,26.95,3,14,10,13,15,13,Dennis
WR,Brandin Cooks,28.93,8,6,7,7,11,10,Jeremy
WR,DK Metcalf,24.71,3,11,6,7,11,10,Keenan
WR,Allen Robinson,29.01,8,7,4,9,12,18,Dag
WR,Marquise Brown,25.23,3,13,5,5,7,8,joe
WR,Darnell Mooney,24.83,2,14,5,9,9,4,Daniel
WR,Jerry Jeudy,23.35,2,9,4,5,6,10,joe
WR,Michael Thomas,29.49,6,14,1,3,6,9,Jordan
WR,Amari Cooper,28.2,7,9,3,5,5,3,joe
WR,Rashod Bateman,22.75,1,10,3,3,7,12,Dag
WR,Chris Godwin,26.5,5,11,3,3,4,5,Brandon
WR,Gabriel Davis,23.41,2,7,1,3,4,4,Daniel
WR,Amon-Ra St Brown,22.85,1,6,1,3,4,7,Brock
WR,JuJu Smith-Schuster,25.77,5,8,1,3,5,11,Keenan
WR,Elijah Moore,22.42,1,10,0,2,5,2,joe
WR,Adam Thielen,32.02,8,7,1,2,3,8,Dag
WR,Brandon Aiyuk,24.45,2,9,1,2,3,7,Brandon
WR,DeVonta Smith,23.79,1,7,1,2,4,2,Jordan
WR,Drake London,21.1,0,14,0,1,4,3,Daniel
WR,Hunter Renfrow,26.69,3,6,0,2,3,5,joe
WR,Tyler Lockett,29.92,7,11,1,2,3,1,Brock
WR,Allen Lazard,26.72,4,14,1,1,3,5,Dag
WR,Christian Kirk,25.78,4,11,0,1,2,1,Woody
WR,DeAndre Hopkins,30.23,9,13,0,1,2,6,Kevin
WR,Robert Woods,30.38,9,6,0,0,4,7,Woody
WR,Kadarius Toney,23.59,1,9,0,1,3,2,Daniel
WR,Treylon Burks,22.43,0,6,0,0,2,1,Kevin
WR,Chris Olave,22.17,0,14,0,0,1,5,Dennis
WR,Chase Claypool,24.15,2,9,0,0,2,1,Jeremy
WR,Skyy Moore,21.97,0,8,0,0,1,1,Kevin
WR,Russell Gage,26.6,4,11,0,1,1,1,Brandon
WR,Tyler Boyd,27.79,6,10,0,1,2,,
WR,Garrett Wilson,22.1,0,10,0,0,0,,
WR,Jakobi Meyers,25.8,3,10,0,1,1,,
WR,Marquez Valdes-Scantling,27.89,4,8,0,0,1,2,Keenan
WR,DeVante Parker,29.6,7,10,0,0,0,1,Brandon
WR,Jarvis Landry,29.75,8,14,0,0,1,1,Jeremy
WR,Rondale Moore,22.22,1,13,0,0,0,,
WR,Kenny Golladay,28.82,5,9,0,0,0,,
WR,D.J. Chark,25.93,4,6,0,0,0,1,Kevin
WR,Michael Gallup,26.49,4,9,0,0,0,,
WR,George Pickens,21.49,0,9,0,0,0,1,Kevin
WR,Julio Jones,33.57,11,11,0,0,0,1,Jordan
WR,Jahan Dotson,22.44,0,14,0,0,0,,
WR,Corey Davis,27.63,5,10,0,0,0,,
WR,Robby Anderson,29.31,6,13,0,0,0,,
WR,Mecole Hardman,24.47,3,8,0,0,0,,
WR,Van Jefferson,26.09,2,7,0,0,0,,
WR,Marvin Jones,32.47,9,11,0,0,0,,
WR,Nico Collins,23.45,1,6,0,0,0,,
WR,Jameson Williams,21.43,0,6,0,0,0,,
WR,KJ Osborn,25.22,2,7,0,0,0,,
TE,Travis Kelce,32.9,9,8,30,34,37,26,Dag
TE,Mark Andrews,25.98,4,10,17,20,26,22,Michael
TE,Kyle Pitts,21.89,1,14,14,17,21,17,Daniel
TE,George Kittle,28.89,5,9,7,9,15,16,Dennis
TE,Darren Waller,29.96,6,6,8,10,12,15,Keenan
TE,Dalton Schultz,26.16,4,9,4,6,9,8,joe
TE,T.J. Hockenson,25.16,3,6,2,2,3,3,Woody
TE,Dallas Goedert,27.65,4,7,1,2,7,1,Kevin
TE,Zach Ertz,31.8,9,13,1,1,2,5,Jeremy
