id,name,profile_id,birthdate,picture_id,nfl_url_name
1,Olamide Zaccheaus, 2562808,7/23/1997,adlvhxtnd9mj3bqa0ryl,olamide-zaccheaus
2,DErnest Johnson, 2563327,2/22/1996,htlt0h1p8gmpgrrbjyyj,d-ernest-johnson
3,Isaiah Hodgins, 2563611,10/21/1998,qjmvqdjdtrycr4zixl2v,isaiah-hodgins
4,Jalen Hurts, 2564832,8/7/1998,gpz9zs474snz3jntrpbd,jalen-hurts
