id,name,profile_id,birthdate,picture_id,nfl_url_name
1,Laviska Shenault,2564232,10/05/1998,mmx64blok0j1a5e9zhww,laviska-shenault-jr
2,Brandon Aiyuk,2565093,3/17/1998,crkz9pxkba4o1zsmiazt,brandon-aiyuk
3,Robert Tonyan,2559270,4/30/1994,z9djtrw0ncxandqumune,robert-tonyan
4,Tee Higgins,2563731,1/18/1999,xcymtg1vdkbntbzlmbrw,tee-higgins
