year,week,away_team,away_points,home_team,home_points
2015,12,Saved by the Bell,116.38,Yippee Kai A Justin Tucker,100.28
2015,12,Don't Vontaze Me Breaux,120.98,Hyde your Kids Hyde your Wife,79.90
2015,12,Valar Almorris,112.74,Edward ForteHands,97.92
2015,12,Welcome to the Space Jameis,113.72,Gronk if you have RB Blues,121.12
2015,13,Mark Instagram It,108.74,Edward ForteHands,76.82
2015,13,Ridin Dirty in the DMC,82.74,Yippee Kai A Justin Tucker,143.86
2015,13,Hyde your Kids Hyde your Wife,101.34,TEFLON TOM,100.20
2015,13,Don't Vontaze Me Breaux,75.26,Saved by the Bell,95.22
2015,13,Gronk if you have RB Blues,107.18,Lynch Don't Kill My Vibe,138.90
2015,13,Welcome to the Space Jameis,121.92,Valar Almorris,96.96
2015,14,Yippee Kai A Justin Tucker,80.86,Saved by the Bell,82.44
2015,14,Don't Vontaze Me Breaux,125.54,Hyde your Kids Hyde your Wife,78.78
2015,15,Welcome to the Space Jameis,107.22,Saved by the Bell,99.10
2015,15,Don't Vontaze Me Breaux,88.60,Ridin Dirty in the DMC,120.60
2015,16,Welcome to the Space Jameis,103.38,Ridin Dirty in the DMC,121.50
2016,1,JEFFERY,85.36,Zeke Squad,103.70
2016,1,Devonta FreeDatMan,61.10,Run LGB,97.56
2016,1,Ware and ACL Tears,119.76,The Law Offices of Ryan n Ryan,117.50
2016,1,Cooper's Hall,111.00,Water under the Bridgewater,108.86
2016,1,Yippee Kai A Justin Tucker,110.86,The Forte Year Old Virgin,128.12
2016,1,Cam On Em 1 Time,105.96,Dak to the Future,89.04
2016,2,JEFFERY,110.26,Yippee Kai A Justin Tucker,91.56
2016,2,Ware and ACL Tears,85.86,Devonta FreeDatMan,93.98
2016,2,Run LGB,107.22,Cooper's Hall,77.12
2016,2,The Law Offices of Ryan n Ryan,91.04,Water under the Bridgewater,89.92
2016,2,Zeke Squad,102.40,Cam On Em 1 Time,89.46
2016,2,The Forte Year Old Virgin,113.62,Dak to the Future,81.70
2016,3,JEFFERY,86.02,Cam On Em 1 Time,111.50
2016,3,Devonta FreeDatMan,120.58,Cooper's Hall,74.44
2016,3,Water under the Bridgewater,69.64,Ware and ACL Tears,112.54
2016,3,The Law Offices of Ryan n Ryan,83.38,Run LGB,104.64
2016,3,Dak to the Future,104.52,Yippee Kai A Justin Tucker,83.52
2016,3,The Forte Year Old Virgin,118.94,Zeke Squad,64.70
2016,4,JEFFERY,94.86,Dak to the Future,78.82
2016,4,Water under the Bridgewater,108.92,Devonta FreeDatMan,114.04
2016,4,Cooper's Hall,114.98,The Law Offices of Ryan n Ryan,101.54
2016,4,Ware and ACL Tears,75.94,Run LGB,93.88
2016,4,Cam On Em 1 Time,105.26,The Forte Year Old Virgin,91.60
2016,4,Yippee Kai A Justin Tucker,89.48,Zeke Squad,95.88
2016,5,JEFFERY,106.92,The Forte Year Old Virgin,115.68
2016,5,Devonta FreeDatMan,89.50,The Law Offices of Ryan n Ryan,124.42
2016,5,Run LGB,92.56,Water under the Bridgewater,99.26
2016,5,Ware and ACL Tears,57.58,Cooper's Hall,106.42
2016,5,Zeke Squad,114.94,Dak to the Future,128.90
2016,5,Yippee Kai A Justin Tucker,88.14,Cam On Em 1 Time,94.68
2016,6,JEFFERY,101.64,Devonta FreeDatMan,84.82
2016,6,Zeke Squad,94.26,Run LGB,94.68
2016,6,Yippee Kai A Justin Tucker,131.58,Ware and ACL Tears,97.92
2016,6,Cam On Em 1 Time,97.22,Cooper's Hall,70.60
2016,6,Dak to the Future,153.10,Water under the Bridgewater,81.52
2016,6,The Forte Year Old Virgin,117.80,The Law Offices of Ryan n Ryan,83.66
2016,7,JEFFERY,68.42,Run LGB,112.34
2016,7,Ware and ACL Tears,116.44,Zeke Squad,91.42
2016,7,Cooper's Hall,77.26,Yippee Kai A Justin Tucker,85.40
2016,7,Water under the Bridgewater,89.00,Cam On Em 1 Time,92.44
2016,7,The Law Offices of Ryan n Ryan,113.06,Dak to the Future,96.32
2016,7,Devonta FreeDatMan,95.36,The Forte Year Old Virgin,131.62
2016,8,JEFFERY,74.30,Ware and ACL Tears,84.46
2016,8,Zeke Squad,124.88,Cooper's Hall,115.66
2016,8,Yippee Kai A Justin Tucker,74.70,Water under the Bridgewater,90.70
2016,8,Cam On Em 1 Time,102.78,The Law Offices of Ryan n Ryan,90.56
2016,8,Dak to the Future,132.54,Devonta FreeDatMan,89.04
2016,8,The Forte Year Old Virgin,107.58,Run LGB,89.62
2016,9,JEFFERY,85.60,Cooper's Hall,124.54
2016,9,Water under the Bridgewater,79.36,Zeke Squad,76.24
2016,9,The Law Offices of Ryan n Ryan,63.96,Yippee Kai A Justin Tucker,91.36
2016,9,Devonta FreeDatMan,91.40,Cam On Em 1 Time,115.76
2016,9,Run LGB,112.20,Dak to the Future,139.06
2016,9,Ware and ACL Tears,70.52,The Forte Year Old Virgin,100.18
2016,10,JEFFERY,62.90,Water under the Bridgewater,80.82
2016,10,Zeke Squad,103.96,The Law Offices of Ryan n Ryan,95.04
2016,10,Yippee Kai A Justin Tucker,127.18,Devonta FreeDatMan,96.58
2016,10,Cam On Em 1 Time,81.62,Run LGB,112.78
2016,10,Dak to the Future,104.78,Ware and ACL Tears,111.00
2016,10,The Forte Year Old Virgin,105.22,Cooper's Hall,104.66
2016,11,JEFFERY,88.00,The Law Offices of Ryan n Ryan,79.34
2016,11,Devonta FreeDatMan,73.66,Zeke Squad,117.58
2016,11,Run LGB,114.62,Yippee Kai A Justin Tucker,88.90
2016,11,Ware and ACL Tears,68.00,Cam On Em 1 Time,72.12
2016,11,Cooper's Hall,72.06,Dak to the Future,105.84
2016,11,Water under the Bridgewater,89.88,The Forte Year Old Virgin,74.72
2016,12,JEFFERY,130.14,Zeke Squad,106.02
2016,12,Run LGB,93.60,Devonta FreeDatMan,114.28
2016,12,The Law Offices of Ryan n Ryan,109.50,Ware and ACL Tears,71.16
2016,12,Water under the Bridgewater,88.14,Cooper's Hall,79.98
2016,12,The Forte Year Old Virgin,130.78,Yippee Kai A Justin Tucker,114.60
2016,12,Dak to the Future,130.16,Cam On Em 1 Time,120.84
2016,13,JEFFERY,89.94,Yippee Kai A Justin Tucker,82.84
2016,13,Devonta FreeDatMan,104.04,Ware and ACL Tears,91.84
2016,13,Cooper's Hall,110.40,Run LGB,67.14
2016,13,Water under the Bridgewater,108.94,The Law Offices of Ryan n Ryan,95.66
2016,13,Cam On Em 1 Time,82.38,Zeke Squad,103.18
2016,13,Dak to the Future,103.22,The Forte Year Old Virgin,98.08
2016,14,Run LGB,82.12,Zeke Squad,85.78
2016,14,Dak to the Future,83.82,Water under the Bridgewater,137.28
2016,15,The Forte Year Old Virgin,106.50,Zeke Squad,87.20
2016,15,Water under the Bridgewater,100.78,Cam On Em 1 Time,76.68
2016,16,The Forte Year Old Virgin,98.90,Water under the Bridgewater,120.88
2017,1,JEFFERY,98.66,Hurricane Ajayi,59.66
2017,1,In Zeke We Trust,71.62,Cooks Me Baby One More Time,83.52
2017,1,Yippee Kai A Justin Tucker,95.12,Got my Siemian on Kelce,57.98
2017,1,Water under the Bridgewater,93.48,Jaboo Coming Thru,95.00
2017,1,Inglorious Staffords,114.58,Get Your Tyreek On,102.98
2017,1,Jaqen Hgharoppolo,82.90,Mayfield's Bakery,79.74
2017,2,JEFFERY,107.08,Jaqen Hgharoppolo,100.80
2017,2,Yippee Kai A Justin Tucker,115.72,In Zeke We Trust,73.30
2017,2,Cooks Me Baby One More Time,64.76,Water under the Bridgewater,78.56
2017,2,Got my Siemian on Kelce,102.28,Jaboo Coming Thru,89.70
2017,2,Inglorious Staffords,110.74,Hurricane Ajayi,83.44
2017,2,Get Your Tyreek On,90.54,Mayfield's Bakery,111.00
2017,3,JEFFERY,141.00,Get Your Tyreek On,119.74
2017,3,In Zeke We Trust,89.10,Water under the Bridgewater,76.86
2017,3,Jaboo Coming Thru,73.90,Yippee Kai A Justin Tucker,76.14
2017,3,Got my Siemian on Kelce,85.92,Cooks Me Baby One More Time,109.44
2017,3,Hurricane Ajayi,71.60,Jaqen Hgharoppolo,100.84
2017,3,Mayfield's Bakery,90.20,Inglorious Staffords,119.50
2017,4,JEFFERY,120.78,Inglorious Staffords,76.18
2017,4,Jaboo Coming Thru,111.76,In Zeke We Trust,113.28
2017,4,Water under the Bridgewater,107.72,Got my Siemian on Kelce,91.94
2017,4,Yippee Kai A Justin Tucker,81.12,Cooks Me Baby One More Time,52.00
2017,4,Mayfield's Bakery,111.52,Hurricane Ajayi,96.44
2017,4,Jaqen Hgharoppolo,94.82,Get Your Tyreek On,78.16
2017,5,JEFFERY,65.36,Mayfield's Bakery,86.70
2017,5,In Zeke We Trust,78.98,Got my Siemian on Kelce,116.06
2017,5,Cooks Me Baby One More Time,80.14,Jaboo Coming Thru,128.58
2017,5,Yippee Kai A Justin Tucker,83.14,Water under the Bridgewater,55.44
2017,5,Hurricane Ajayi,75.12,Get Your Tyreek On,93.26
2017,5,Inglorious Staffords,74.16,Jaqen Hgharoppolo,102.90
2017,6,JEFFERY,94.16,Cooks Me Baby One More Time,98.32
2017,6,Hurricane Ajayi,87.62,In Zeke We Trust,112.28
2017,6,Inglorious Staffords,89.10,Yippee Kai A Justin Tucker,63.56
2017,6,Jaqen Hgharoppolo,126.40,Water under the Bridgewater,67.72
2017,6,Mayfield's Bakery,81.04,Jaboo Coming Thru,78.36
2017,6,Get Your Tyreek On,93.12,Got my Siemian on Kelce,105.12
2017,7,JEFFERY,116.82,Yippee Kai A Justin Tucker,91.30
2017,7,Cooks Me Baby One More Time,78.78,Hurricane Ajayi,78.20
2017,7,Water under the Bridgewater,73.48,Inglorious Staffords,101.74
2017,7,Jaboo Coming Thru,71.48,Jaqen Hgharoppolo,100.84
2017,7,Got my Siemian on Kelce,75.08,Mayfield's Bakery,92.26
2017,7,In Zeke We Trust,120.92,Get Your Tyreek On,135.44
2017,8,JEFFERY,93.72,Water under the Bridgewater,97.26
2017,8,Hurricane Ajayi,84.14,Yippee Kai A Justin Tucker,104.52
2017,8,Inglorious Staffords,90.34,Jaboo Coming Thru,64.52
2017,8,Jaqen Hgharoppolo,72.70,Got my Siemian on Kelce,104.86
2017,8,Mayfield's Bakery,106.58,In Zeke We Trust,75.34
2017,8,Get Your Tyreek On,105.12,Cooks Me Baby One More Time,87.32
2017,9,JEFFERY,135.40,Jaboo Coming Thru,60.60
2017,9,Water under the Bridgewater,67.82,Hurricane Ajayi,100.26
2017,9,Got my Siemian on Kelce,83.54,Inglorious Staffords,95.36
2017,9,In Zeke We Trust,77.16,Jaqen Hgharoppolo,77.48
2017,9,Cooks Me Baby One More Time,62.28,Mayfield's Bakery,99.10
2017,9,Yippee Kai A Justin Tucker,81.62,Get Your Tyreek On,95.80
2017,10,JEFFERY,109.28,Got my Siemian on Kelce,76.22
2017,10,Hurricane Ajayi,113.84,Jaboo Coming Thru,78.38
2017,10,Inglorious Staffords,76.62,In Zeke We Trust,103.02
2017,10,Jaqen Hgharoppolo,81.58,Cooks Me Baby One More Time,107.10
2017,10,Mayfield's Bakery,115.38,Yippee Kai A Justin Tucker,69.82
2017,10,Get Your Tyreek On,74.88,Water under the Bridgewater,80.84
2017,11,JEFFERY,83.30,In Zeke We Trust,49.18
2017,11,Got my Siemian on Kelce,105.02,Hurricane Ajayi,93.12
2017,11,Cooks Me Baby One More Time,108.06,Inglorious Staffords,124.92
2017,11,Yippee Kai A Justin Tucker,121.24,Jaqen Hgharoppolo,88.78
2017,11,Water under the Bridgewater,81.86,Mayfield's Bakery,123.48
2017,11,Jaboo Coming Thru,127.14,Get Your Tyreek On,95.28
2017,12,JEFFERY,114.22,Hurricane Ajayi,100.84
2017,12,Cooks Me Baby One More Time,110.94,In Zeke We Trust,86.90
2017,12,Got my Siemian on Kelce,61.04,Yippee Kai A Justin Tucker,82.44
2017,12,Jaboo Coming Thru,113.28,Water under the Bridgewater,86.64
2017,12,Get Your Tyreek On,59.40,Inglorious Staffords,114.20
2017,12,Mayfield's Bakery,120.62,Jaqen Hgharoppolo,108.02
2017,13,JEFFERY,107.38,Jaqen Hgharoppolo,76.92
2017,13,In Zeke We Trust,78.00,Yippee Kai A Justin Tucker,116.08
2017,13,Water under the Bridgewater,118.54,Cooks Me Baby One More Time,111.24
2017,13,Jaboo Coming Thru,138.26,Got my Siemian on Kelce,110.20
2017,13,Hurricane Ajayi,92.20,Inglorious Staffords,90.94
2017,13,Mayfield's Bakery,86.40,Get Your Tyreek On,83.20
2017,14,Yippee Kai A Justin Tucker,65.06,Jaqen Hgharoppolo,138.38
2017,14,Inglorious Staffords,104.86,Cooks Me Baby One More Time,69.48
2017,15,Mayfield's Bakery,116.08,Jaqen Hgharoppolo,106.64
2017,15,Inglorious Staffords,123.24,JEFFERY,110.78
2017,16,Mayfield's Bakery,85.76,Inglorious Staffords,76.84
2018,1,JEFFERY,125.36,Spice Gurley,124.20
2018,1,JuJuJuliooooo,107.24,Dakstreet's Back,149.78
2018,1,Bottom Feeder Baby,102.70,Max 30 characters No profanity,110.30
2018,1,MAN FUQ KJEMP,91.96,Fournetteflix and Chill,113.76
2018,1,Stone Cold Kittle,129.04,Hotel-Odell-Golladay Inn,72.94
2018,1,Bros Exposing Lying Hoz,123.10,Mayfield's Bakery,114.40
2018,2,JEFFERY,133.44,JuJuJuliooooo,117.78
2018,2,Spice Gurley,162.32,Bottom Feeder Baby,110.10
2018,2,Dakstreet's Back,111.46,Max 30 characters No profanity,97.40
2018,2,Stone Cold Kittle,117.74,MAN FUQ KJEMP,141.84
2018,2,Fournetteflix and Chill,96.08,Bros Exposing Lying Hoz,104.94
2018,2,Hotel-Odell-Golladay Inn,128.96,Mayfield's Bakery,133.80
2018,3,JEFFERY,121.44,Bottom Feeder Baby,114.82
2018,3,Max 30 characters No profanity,102.20,JuJuJuliooooo,118.20
2018,3,Dakstreet's Back,85.66,Spice Gurley,113.82
2018,3,MAN FUQ KJEMP,141.90,Bros Exposing Lying Hoz,101.00
2018,3,Mayfield's Bakery,112.64,Stone Cold Kittle,114.16
2018,3,Hotel-Odell-Golladay Inn,87.98,Fournetteflix and Chill,65.60
2018,4,JEFFERY,110.24,Max 30 characters No profanity,96.18
2018,4,Bottom Feeder Baby,120.56,Dakstreet's Back,153.88
2018,4,JuJuJuliooooo,142.10,Spice Gurley,90.66
2018,4,Mayfield's Bakery,148.36,MAN FUQ KJEMP,137.06
2018,4,Bros Exposing Lying Hoz,84.78,Hotel-Odell-Golladay Inn,116.18
2018,4,Stone Cold Kittle,149.72,Fournetteflix and Chill,99.20
2018,5,JEFFERY,99.64,Dakstreet's Back,109.38
2018,5,Spice Gurley,131.42,Max 30 characters No profanity,144.68
2018,5,JuJuJuliooooo,91.30,Bottom Feeder Baby,135.22
2018,5,MAN FUQ KJEMP,81.24,Hotel-Odell-Golladay Inn,91.28
2018,5,Fournetteflix and Chill,134.98,Mayfield's Bakery,126.86
2018,5,Stone Cold Kittle,116.44,Bros Exposing Lying Hoz,113.00
2018,6,JEFFERY,135.44,MAN FUQ KJEMP,90.34
2018,6,Fournetteflix and Chill,115.56,Spice Gurley,97.08
2018,6,Stone Cold Kittle,120.94,JuJuJuliooooo,78.20
2018,6,Bros Exposing Lying Hoz,148.66,Bottom Feeder Baby,95.90
2018,6,Mayfield's Bakery,129.52,Max 30 characters No profanity,121.44
2018,6,Hotel-Odell-Golladay Inn,128.90,Dakstreet's Back,149.40
2018,7,JEFFERY,137.44,Hotel-Odell-Golladay Inn,101.34
2018,7,Spice Gurley,108.90,MAN FUQ KJEMP,128.74
2018,7,JuJuJuliooooo,97.48,Fournetteflix and Chill,155.26
2018,7,Bottom Feeder Baby,113.66,Stone Cold Kittle,130.54
2018,7,Max 30 characters No profanity,90.84,Bros Exposing Lying Hoz,101.60
2018,7,Dakstreet's Back,140.14,Mayfield's Bakery,127.48
2018,8,JEFFERY,111.78,Mayfield's Bakery,121.06
2018,8,MAN FUQ KJEMP,92.30,JuJuJuliooooo,119.98
2018,8,Fournetteflix and Chill,144.36,Bottom Feeder Baby,111.30
2018,8,Stone Cold Kittle,141.34,Max 30 characters No profanity,107.60
2018,8,Bros Exposing Lying Hoz,108.54,Dakstreet's Back,118.12
2018,8,Hotel-Odell-Golladay Inn,115.00,Spice Gurley,127.52
2018,9,JEFFERY,113.68,Bros Exposing Lying Hoz,140.96
2018,9,Bottom Feeder Baby,118.00,MAN FUQ KJEMP,152.94
2018,9,Max 30 characters No profanity,122.72,Fournetteflix and Chill,94.76
2018,9,Dakstreet's Back,86.42,Stone Cold Kittle,106.08
2018,9,Spice Gurley,59.46,Mayfield's Bakery,123.06
2018,9,JuJuJuliooooo,128.36,Hotel-Odell-Golladay Inn,80.30
2018,10,JEFFERY,142.76,Stone Cold Kittle,175.28
2018,10,MAN FUQ KJEMP,120.20,Max 30 characters No profanity,103.16
2018,10,Fournetteflix and Chill,93.64,Dakstreet's Back,83.66
2018,10,Bros Exposing Lying Hoz,108.10,Spice Gurley,113.50
2018,10,Mayfield's Bakery,116.34,JuJuJuliooooo,60.92
2018,10,Hotel-Odell-Golladay Inn,131.42,Bottom Feeder Baby,148.08
2018,11,JEFFERY,171.42,Fournetteflix and Chill,98.46
2018,11,Dakstreet's Back,99.28,MAN FUQ KJEMP,110.56
2018,11,Spice Gurley,91.16,Stone Cold Kittle,81.60
2018,11,JuJuJuliooooo,93.68,Bros Exposing Lying Hoz,110.90
2018,11,Bottom Feeder Baby,113.42,Mayfield's Bakery,107.66
2018,11,Max 30 characters No profanity,147.80,Hotel-Odell-Golladay Inn,96.80
2018,12,JEFFERY,107.28,Spice Gurley,89.84
2018,12,Dakstreet's Back,134.86,JuJuJuliooooo,140.70
2018,12,Max 30 characters No profanity,92.24,Bottom Feeder Baby,126.66
2018,12,Fournetteflix and Chill,167.18,MAN FUQ KJEMP,107.86
2018,12,Hotel-Odell-Golladay Inn,100.90,Stone Cold Kittle,149.26
2018,12,Mayfield's Bakery,104.00,Bros Exposing Lying Hoz,143.18
2018,13,JEFFERY,117.10,JuJuJuliooooo,96.46
2018,13,Bottom Feeder Baby,102.78,Spice Gurley,116.38
2018,13,Max 30 characters No profanity,105.28,Dakstreet's Back,85.20
2018,13,MAN FUQ KJEMP,93.38,Stone Cold Kittle,116.78
2018,13,Bros Exposing Lying Hoz,113.78,Fournetteflix and Chill,130.70
2018,13,Mayfield's Bakery,102.08,Hotel-Odell-Golladay Inn,96.78
2018,14,Mayfield's Bakery,130.70,Dakstreet's Back,100.72
2018,14,Fournetteflix and Chill,141.12,Bros Exposing Lying Hoz,133.08
2018,15,Stone Cold Kittle,95.38,Mayfield's Bakery,126.24
2018,15,Fournetteflix and Chill,81.48,JEFFERY,84.32
2018,16,Mayfield's Bakery,141.48,JEFFERY,136.72
