year,week,away_team,away_points,home_team,home_points
2012,3,GreenGrapesWhiteWine,88.94,RANDY MOSS THE BOSS HUUAHHHHH,96.02
2012,3,One Team One Dream,89.14,BRO FLACCO,91.28
2012,3,Michael Bush League,97.40,Fuck you JHIGH,114.62
2012,3,The Romosapiens,71.38,ABC Easy as RGIII,122.74
2012,3,It's not just Luck,114.50,McGunnigle - Motley Cruz,67.76
2012,3,Stephen's Howling in the Wayne,92.72,Welker Texas Ranger,116.14
2012,4,GreenGrapesWhiteWine,151.52,Fuck you JHIGH,77.34
2012,4,Michael Bush League,76.28,One Team One Dream,101.82
2012,4,BRO FLACCO,85.54,RANDY MOSS THE BOSS HUUAHHHHH,113.28
2012,4,It's not just Luck,89.54,The Romosapiens,82.72
2012,4,ABC Easy as RGIII,90.88,Stephen's Howling in the Wayne,83.76
2012,4,McGunnigle - Motley Cruz,128.18,Welker Texas Ranger,118.14
2012,5,GreenGrapesWhiteWine,128.16,Michael Bush League,73.64
2012,5,One Team One Dream,85.16,RANDY MOSS THE BOSS HUUAHHHHH,86.02
2012,5,Fuck you JHIGH,66.42,BRO FLACCO,76.40
2012,5,The Romosapiens,74.00,Stephen's Howling in the Wayne,132.22
2012,5,Welker Texas Ranger,95.06,It's not just Luck,89.52
2012,5,McGunnigle - Motley Cruz,157.48,ABC Easy as RGIII,111.64
2012,6,GreenGrapesWhiteWine,93.60,Welker Texas Ranger,102.82
2012,6,The Romosapiens,105.78,One Team One Dream,76.88
2012,6,McGunnigle - Motley Cruz,85.28,Fuck you JHIGH,109.30
2012,6,ABC Easy as RGIII,111.38,BRO FLACCO,118.96
2012,6,It's not just Luck,73.70,Michael Bush League,128.24
2012,6,Stephen's Howling in the Wayne,95.16,RANDY MOSS THE BOSS HUUAHHHHH,90.22
2012,7,GreenGrapesWhiteWine,78.76,The Romosapiens,104.94
2012,7,Fuck you JHIGH,80.10,Welker Texas Ranger,79.62
2012,7,BRO FLACCO,53.88,McGunnigle - Motley Cruz,143.48
2012,7,Michael Bush League,86.92,ABC Easy as RGIII,90.22
2012,7,RANDY MOSS THE BOSS HUUAHHHHH,120.88,It's not just Luck,112.26
2012,7,One Team One Dream,74.40,Stephen's Howling in the Wayne,70.80
2012,8,GreenGrapesWhiteWine,67.96,Stephen's Howling in the Wayne,69.50
