profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2505052,2002,11,0,0,0,0,0,32,153,0,25,0,59,1
2505062,2002,13,0,0,0,0,0,2,0,0,489,43,2,0
2505076,2002,2,7,18,66,0,2,1,20,0,0,0,0,1
2505101,2002,4,23,46,231,1,2,25,139,2,0,0,0,1
2505106,2002,16,0,0,0,0,0,1,8,0,485,39,4,1
2500150,2003,13,284,500,3110,13,16,17,49,0,0,0,0,5
2500835,2003,16,0,0,0,0,0,0,0,0,916,71,10,0
2501078,2003,16,313,513,3841,26,15,36,125,2,0,0,0,1
2501863,2003,16,379,566,4267,29,10,28,26,0,0,0,0,1
2501898,2003,16,0,0,0,0,0,3,11,0,1303,95,8,0
2502044,2003,16,275,478,3216,16,11,71,355,3,0,0,0,3
2502220,2003,16,0,0,0,0,0,6,18,0,1632,111,17,1
2502377,2003,15,0,0,0,0,0,3,-2,0,1102,80,9,0
2503532,2003,16,0,0,0,0,0,11,61,0,1163,95,10,0
2503715,2003,16,0,0,0,0,0,392,1372,9,351,1,307,5
2504211,2003,16,317,527,3620,23,12,42,63,1,0,0,0,5
2504252,2003,16,0,0,0,0,0,137,627,3,180,0,183,2
2504253,2003,16,0,0,0,0,0,1,-7,0,860,60,4,0
2504531,2003,5,50,100,585,4,3,40,255,1,0,0,0,1
2504595,2003,16,0,0,0,0,0,11,42,0,1110,88,7,0
2504651,2003,16,0,0,0,0,0,0,0,0,1355,90,10,0
2504743,2003,16,0,0,0,0,0,10,67,0,1105,74,10,2
2504747,2003,16,0,0,0,0,0,0,0,0,838,68,7,0
2504775,2003,11,205,356,2108,11,15,21,84,0,0,0,0,3
2504778,2003,16,0,0,0,0,0,313,1645,13,725,4,470,0
2505033,2003,16,0,0,0,0,0,1,13,0,402,34,2,0
2505052,2003,16,0,0,0,0,0,38,239,0,32,1,156,1
2505062,2003,15,0,0,0,0,0,1,11,0,803,57,3,0
2505076,2003,8,95,166,1018,5,6,28,158,1,0,0,0,2
2505101,2003,2,9,12,86,1,0,0,0,0,0,0,0,0
2505106,2003,16,0,0,0,0,0,0,0,0,598,49,2,0
2505299,2003,15,0,0,0,0,0,0,0,0,389,24,2,1
2505453,2003,11,0,0,0,0,0,0,0,0,18,3,0,0
2505511,2003,16,0,0,0,0,0,0,0,0,455,29,2,1
2505551,2003,16,0,0,0,0,0,5,-10,0,976,66,4,0
2505587,2003,16,0,0,0,0,0,5,40,0,1377,101,8,3
2505600,2003,16,0,0,0,0,0,0,0,0,212,14,2,0
2505623,2003,3,38,72,437,2,1,3,-1,0,0,0,0,0
2505629,2003,15,0,0,0,0,0,0,0,0,347,35,1,0
2505664,2003,10,0,0,0,0,0,0,0,0,340,29,1,0
2505673,2003,15,239,418,2819,14,16,25,108,2,0,0,0,6
2500150,2004,14,289,513,3495,21,20,16,36,0,0,0,0,3
2500835,2004,16,0,0,0,0,0,1,5,0,1258,102,7,0
2501078,2004,14,279,474,3382,22,15,27,90,1,0,0,0,1
2501863,2004,16,336,497,4557,49,10,25,38,0,0,0,0,1
2501898,2004,16,0,0,0,0,0,1,-3,0,1168,96,7,0
2502044,2004,15,300,469,3875,31,8,41,220,3,0,0,0,6
2502220,2004,13,0,0,0,0,0,0,0,0,767,49,13,1
2502377,2004,14,0,0,0,0,0,3,-5,0,1200,77,14,1
2503532,2004,16,0,0,0,0,0,7,25,1,1004,80,4,0
2504211,2004,16,288,474,3692,28,14,43,28,0,0,0,0,5
2504252,2004,14,0,0,0,0,0,240,948,7,427,0,221,1
2504253,2004,11,0,0,0,0,0,0,0,0,698,35,5,0
2504531,2004,15,181,321,2313,14,12,120,902,3,0,0,0,7
2504566,2004,11,191,356,1893,11,15,14,13,1,0,0,0,5
2504595,2004,1,0,0,0,0,0,0,0,0,60,6,0,0
2504651,2004,16,0,0,0,0,0,4,39,0,1274,95,9,0
2504743,2004,15,0,0,0,0,0,6,18,0,838,45,5,0
2504747,2004,16,0,0,0,0,0,1,-4,0,1210,77,12,0
2504775,2004,15,262,400,3159,27,7,53,85,2,0,0,0,2
2504778,2004,15,0,0,0,0,0,339,1335,17,441,1,296,2
2505033,2004,16,0,0,0,0,0,4,30,0,632,41,2,1
2505052,2004,15,0,0,0,0,0,30,126,0,53,0,77,0
2505062,2004,9,0,0,0,0,0,0,0,0,454,35,4,1
2505076,2004,14,233,408,2511,11,10,36,112,2,0,0,0,5
2505101,2004,4,38,72,374,2,1,12,76,1,0,0,0,0
2505106,2004,16,0,0,0,0,0,0,0,0,791,73,4,0
2505245,2004,13,263,432,2897,18,18,18,47,1,0,0,0,2
2505299,2004,15,0,0,0,0,0,0,0,0,964,81,13,0
2505354,2004,6,0,0,0,0,0,0,0,0,0,0,0,0
2505380,2004,9,0,0,0,0,0,13,73,0,0,0,48,0
