profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost,position
949,2008,16,0,0,0,0,0,184,836,10,47,8,0,2,RB
949,2009,16,0,0,0,0,0,221,1133,10,139,18,1,3,RB
949,2010,14,0,0,0,0,0,178,770,2,103,8,1,4,RB
949,2011,16,0,0,0,0,0,142,761,4,413,47,1,1,RB
949,2012,9,0,0,0,0,0,93,336,1,157,17,1,2,RB
949,2013,6,0,0,0,0,0,48,180,0,44,7,0,1,RB
949,2014,13,0,0,0,0,0,175,809,3,181,25,1,2,RB
949,2015,13,0,0,0,0,0,242,989,6,99,16,1,3,RB
949,2016,13,0,0,0,0,0,218,824,9,60,8,0,3,RB
949,2017,15,0,0,0,0,0,198,680,6,52,8,1,3,RB
949,2018,3,0,0,0,0,0,6,17,0,0,0,0,0,RB
1970,2008,16,0,0,0,0,0,92,472,2,185,21,0,0,RB
1970,2009,16,0,0,0,0,0,64,349,3,132,15,0,0,RB
1970,2010,16,0,0,0,0,0,66,243,3,109,17,0,1,RB
1970,2011,13,0,0,0,0,0,57,152,1,124,19,0,3,RB
1970,2012,12,0,0,0,0,0,47,193,1,9,4,0,0,RB
1970,2013,15,0,0,0,0,0,46,170,0,15,5,0,0,RB
1980,2008,12,0,0,0,0,0,68,343,5,179,14,1,0,RB
1980,2009,14,0,0,0,0,0,13,54,1,19,4,0,1,RB
1980,2010,16,0,0,0,0,0,270,1177,11,477,61,2,8,RB
1980,2011,10,0,0,0,0,0,161,587,3,130,22,0,2,RB
1980,2012,13,0,0,0,0,0,85,309,1,62,10,0,2,RB
1980,2013,7,0,0,0,0,0,73,247,2,96,13,0,2,RB
1980,2014,9,0,0,0,0,0,26,115,0,87,10,0,0,RB
1996,2008,2,0,0,0,0,0,15,69,1,0,0,0,0,RB
1996,2010,10,0,0,0,0,0,164,742,4,125,18,2,2,RB
1996,2011,8,0,0,0,0,0,59,200,1,23,6,0,1,RB
1996,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,RB
2643,2008,1,0,0,0,0,0,2,27,0,0,0,0,0,RB
2643,2009,7,0,0,0,0,0,5,17,0,0,0,0,0,RB
2643,2010,16,0,0,0,0,0,0,0,0,0,0,0,1,RB
2643,2012,11,0,0,0,0,0,40,143,0,60,7,0,0,RB
2643,2014,1,0,0,0,0,0,1,0,0,0,0,0,0,RB
4327,2009,10,0,0,0,0,0,15,64,0,87,8,0,0,RB
4327,2010,15,0,0,0,0,0,97,547,5,379,34,1,1,RB
4327,2011,15,0,0,0,0,0,77,351,1,157,18,0,0,RB
4327,2012,16,0,0,0,0,0,76,301,4,446,40,3,1,RB
4327,2013,16,0,0,0,0,0,106,429,2,605,76,6,2,RB
4327,2014,3,0,0,0,0,0,15,38,0,34,5,0,0,RB
4327,2015,16,0,0,0,0,0,98,336,3,755,80,6,0,RB
4327,2016,2,0,0,0,0,0,19,116,0,35,6,1,0,RB
4327,2017,8,0,0,0,0,0,14,56,0,200,33,0,0,RB
4383,2008,16,0,0,0,0,0,143,399,10,237,34,0,2,RB
4383,2009,16,0,0,0,0,0,143,598,8,428,63,0,5,RB
4383,2010,16,0,0,0,0,0,153,736,5,136,21,0,5,RB
4383,2011,5,0,0,0,0,0,84,321,1,78,10,1,0,RB
4383,2015,8,0,0,0,0,0,96,375,4,129,12,0,0,RB
4383,2016,16,0,0,0,0,0,133,548,4,200,22,1,0,RB
4433,2009,2,0,0,0,0,0,0,0,0,20,2,0,0,RB
4433,2010,16,0,0,0,0,0,30,122,1,333,25,3,1,RB
4433,2011,12,0,0,0,0,0,17,112,0,301,27,2,1,RB
4433,2012,16,0,0,0,0,0,59,271,0,496,52,1,2,RB
4433,2013,16,0,0,0,0,0,46,218,2,331,32,2,0,RB
4433,2014,15,0,0,0,0,0,21,85,0,265,37,1,1,RB
4433,2015,15,0,0,0,0,0,10,36,0,269,30,3,0,RB
4433,2016,4,0,0,0,0,0,2,0,0,73,5,0,0,RB
71345,2009,15,0,0,0,0,0,39,202,1,101,16,0,0,RB
71345,2010,13,0,0,0,0,0,84,459,4,223,26,0,0,RB
71345,2012,10,0,0,0,0,0,101,283,2,130,19,0,3,RB
71345,2013,15,0,0,0,0,0,163,733,6,292,36,0,0,RB
71345,2014,11,0,0,0,0,0,167,639,4,226,30,0,1,RB
71345,2015,16,0,0,0,0,0,195,863,3,296,29,1,3,RB
71345,2016,13,0,0,0,0,0,181,593,3,201,35,1,1,RB
79555,2009,6,0,0,0,0,0,54,257,3,93,8,0,1,RB
79555,2010,16,0,0,0,0,0,327,1616,16,604,66,2,3,RB
79555,2011,13,0,0,0,0,0,278,1224,10,617,53,2,5,RB
79555,2012,16,0,0,0,0,0,351,1424,15,217,40,2,3,RB
79555,2013,8,0,0,0,0,0,121,542,1,183,22,1,0,RB
79555,2014,13,0,0,0,0,0,260,1246,8,327,38,5,2,RB
79555,2015,4,0,0,0,0,0,63,163,1,227,22,2,2,RB
79555,2016,4,0,0,0,0,0,22,55,0,78,6,0,1,RB
79563,2009,14,0,0,0,0,0,108,540,2,0,0,0,3,RB
79563,2010,15,0,0,0,0,0,185,766,2,120,16,0,3,RB
79563,2011,16,0,0,0,0,0,253,1054,6,211,30,0,1,RB
79563,2012,16,0,0,0,0,0,276,1063,8,151,19,0,4,RB
79563,2013,11,0,0,0,0,0,77,295,4,39,6,0,0,RB
79563,2014,13,0,0,0,0,0,94,392,2,13,1,0,1,RB
79607,2009,16,0,0,0,0,0,155,637,4,308,40,0,2,RB
79607,2010,15,0,0,0,0,0,207,1080,7,592,78,2,2,RB
79607,2011,15,0,0,0,0,0,273,1309,17,315,48,3,1,RB
79607,2012,12,0,0,0,0,0,200,840,2,373,54,3,4,RB
79607,2013,16,0,0,0,0,0,314,1607,9,539,52,2,1,RB
79607,2014,16,0,0,0,0,0,312,1319,5,155,28,0,4,RB
79607,2015,12,0,0,0,0,0,203,895,3,292,32,2,2,RB
79607,2016,15,0,0,0,0,0,234,1267,13,356,51,1,3,RB
79607,2017,16,0,0,0,0,0,287,1138,6,448,59,2,3,RB
79607,2018,14,0,0,0,0,0,161,514,3,238,34,0,0,RB
79619,2009,16,0,0,0,0,0,247,947,7,213,28,2,4,RB
79619,2010,13,0,0,0,0,0,182,779,5,372,37,3,3,RB
79619,2011,7,0,0,0,0,0,37,179,0,101,11,1,1,RB
79619,2012,8,0,0,0,0,0,138,525,4,167,21,0,1,RB
79619,2013,16,0,0,0,0,0,241,1038,10,548,60,3,1,RB
79619,2014,3,0,0,0,0,0,31,148,1,8,1,0,0,RB
79635,2009,7,0,0,0,0,0,8,48,0,0,0,0,0,RB
79635,2010,16,0,0,0,0,0,51,239,2,44,7,0,0,RB
79635,2011,12,0,0,0,0,0,59,185,1,187,28,0,1,RB
79635,2012,2,0,0,0,0,0,2,14,0,12,3,0,0,RB
79661,2009,16,0,0,0,0,0,176,793,7,143,12,0,4,RB
79661,2010,13,0,0,0,0,0,116,397,2,74,5,0,1,RB
79661,2011,14,0,0,0,0,0,245,1047,10,52,10,0,4,RB
79661,2012,8,0,0,0,0,0,88,234,5,24,1,0,1,RB
80630,2009,7,0,0,0,0,0,40,220,0,4,1,0,0,RB
80630,2011,13,0,0,0,0,0,79,337,0,133,19,1,3,RB
80630,2012,7,0,0,0,0,0,29,76,0,13,2,0,1,RB
80630,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,RB
80644,2009,8,0,0,0,0,0,22,49,0,15,2,0,1,RB
80644,2010,16,0,0,0,0,0,103,452,3,310,40,0,6,RB
80644,2011,4,0,0,0,0,0,0,0,0,4,1,0,0,RB
80644,2012,12,0,0,0,0,0,35,221,0,195,16,1,0,RB
80644,2013,2,0,0,0,0,0,7,61,0,19,2,0,0,RB
80674,2009,2,0,0,0,0,0,11,50,0,19,1,0,0,RB
80674,2011,13,0,0,0,0,0,76,340,1,165,23,0,2,RB
80674,2012,15,0,0,0,0,0,8,30,0,187,24,0,1,RB
80674,2013,16,0,0,0,0,0,49,240,0,343,48,2,2,RB
80674,2014,7,0,0,0,0,0,14,50,1,0,0,0,0,RB
81869,2009,13,0,0,0,0,0,74,321,0,67,5,0,1,RB
81869,2010,16,0,0,0,0,0,61,299,1,60,11,0,1,RB
81869,2011,16,0,0,0,0,0,112,380,3,38,13,0,0,RB
81869,2012,2,0,0,0,0,0,8,35,0,0,0,0,0,RB
81869,2013,2,0,0,0,0,0,4,14,0,10,2,0,0,RB
89686,2010,3,0,0,0,0,0,2,11,0,0,0,0,0,RB
89686,2011,10,0,0,0,0,0,30,101,1,41,7,0,0,RB
89686,2012,10,0,0,0,0,0,39,115,0,77,12,0,1,RB
89798,2010,9,0,0,0,0,0,1,-3,0,0,0,0,0,RB
89798,2011,12,0,0,0,0,0,0,0,0,0,0,0,0,RB
89798,2012,13,0,0,0,0,0,0,0,0,0,0,0,0,RB
89798,2013,15,0,0,0,0,0,5,145,2,10,2,0,0,RB
89798,2014,10,0,0,0,0,0,23,144,2,222,13,3,1,RB
89798,2015,5,0,0,0,0,0,1,11,0,0,0,0,0,RB
89798,2016,3,0,0,0,0,0,10,47,0,77,6,0,2,RB
238504,2009,16,0,0,0,0,0,6,15,0,83,10,1,1,RB
238504,2010,13,0,0,0,0,0,23,113,1,111,16,0,0,RB
238504,2011,14,0,0,0,0,0,43,167,0,234,13,2,0,RB
238504,2012,14,0,0,0,0,0,110,356,4,106,17,0,0,RB
238504,2013,1,0,0,0,0,0,6,19,0,11,2,0,0,RB
497138,2012,16,0,0,0,0,0,3,9,0,2,1,0,0,RB
497138,2013,11,0,0,0,0,0,44,166,3,13,5,0,1,RB
497138,2014,15,0,0,0,0,0,164,570,9,312,44,1,1,RB
497138,2015,16,0,0,0,0,0,29,112,0,132,19,0,0,RB
497138,2016,16,0,0,0,0,0,121,402,6,263,32,0,1,RB
497145,2010,8,0,0,0,0,0,0,0,0,0,0,0,0,RB
497145,2012,16,0,0,0,0,0,82,414,3,485,52,0,2,RB
497145,2013,16,0,0,0,0,0,166,650,8,547,53,0,4,RB
497145,2014,15,0,0,0,0,0,223,860,7,322,34,1,5,RB
497145,2015,13,0,0,0,0,0,90,311,4,286,22,0,1,RB
